# gutenberg_id	id	title	author
2701	moby-dick	Moby-Dick; or, The Whale	Herman Melville
46	a-christmas-carol	A Christmas Carol	Charles Dickens
1342	pride-and-prejudice	Pride and Prejudice	Jane Austen
11	alice-in-wonderland	Alice's Adventures in Wonderland	Lewis Carroll
84	frankenstein	Frankenstein; or, The Modern Prometheus	Mary Shelley
1661	sherlock-holmes	The Adventures of Sherlock Holmes	Arthur Conan Doyle
345	dracula	Dracula	Bram Stoker
64317	the-great-gatsby	The Great Gatsby	F. Scott Fitzgerald
98	a-tale-of-two-cities	A Tale of Two Cities	Charles Dickens
1400	great-expectations	Great Expectations	Charles Dickens
1260	jane-eyre	Jane Eyre	Charlotte Brontë
768	wuthering-heights	Wuthering Heights	Emily Brontë
74	tom-sawyer	The Adventures of Tom Sawyer	Mark Twain
76	huckleberry-finn	Adventures of Huckleberry Finn	Mark Twain
174	dorian-gray	The Picture of Dorian Gray	Oscar Wilde
120	treasure-island	Treasure Island	Robert Louis Stevenson
514	little-women	Little Women	Louisa May Alcott
43	jekyll-and-hyde	The Strange Case of Dr Jekyll and Mr Hyde	Robert Louis Stevenson
158	emma	Emma	Jane Austen
35	the-time-machine	The Time Machine	H. G. Wells
