id,name,category,citation,chapter,actor,domain,layer,module,algorithm,rule,worked_expression,has_expression
1,Standard Q&A,User-Facing,§52.13.2,52,Reader,D4 Retrieval & Response,Reasoning,D4.ch52,"Parse the query, retrieve candidate Fact Units via the Associative Recall Engine, run the Attractor Network to stabilize the candidate set, compose a response through the Narrative Graph's grounded-generation pipeline, deliver.",Retrieval confidence must clear a minimum threshold before a Fact Unit is offered as grounding.,"=IF(0.62>=0.5,""Included as Grounding"",""Excluded"")",True
2,Guided Exploration,User-Facing,§52.13.2,52,Reader,D4 Retrieval & Response,Reasoning,D4.ch52,"As Standard Q&A, but each turn's candidate retrieval is conditioned on the accumulated Cognitive Context Window from prior turns rather than the query alone.",Context weight decays with turn distance; a fact from 5 turns ago counts less than one from the last turn.,=1/(1+2),True
3,Discussion Mode,User-Facing,§52.13.3,52,Reader / Researcher,D4 Retrieval & Response,Reasoning,D4.ch52,Retrieve Fact Units as in Standard Q&A; adopt a text-grounded viewpoint only where the source material's groundedness for that viewpoint clears a threshold.,Viewpoint adoption is gated on a groundedness score exceeding a fixed threshold.,"=IF(0.8>0.6,""Adopt Viewpoint"",""Retrieve Only"")",True
4,Tutorial Mode,User-Facing,§52.13.2,52,Student,D4 Retrieval & Response,Reasoning,D4.ch52,Sequence a book's Fact Units into ordered instructional steps of increasing difficulty.,Steps are ordered by a difficulty rank; a step's position is its rank among all steps.,"=RANK(3,{1,2,3,4,5})",True
5,Comprehension Check,User-Facing,§52.13.2,52,Student,D14 Learning & Assessment,Experience,,Generate a question from a target Fact Unit; compare a submitted answer's semantic similarity against that Fact Unit's content; correct if similarity clears a threshold.,Answer correctness is a threshold comparison on a semantic-similarity score.,"=IF(0.87>=0.75,""Correct"",""Incorrect"")",True
6,Semantic Exploration,User-Facing,§52.13.2,52,Reader / Researcher,D4 Retrieval & Response,Reasoning,D4.ch52,"Traverse the Ontology Mesh outward from a starting node, surfacing connected nodes ranked by relationship strength.",Neighbors are included only above a relationship-strength threshold.,"=IF(0.55>=0.4,""Include Neighbor"",""Exclude"")",True
7,Timeline Reconstruction,User-Facing,§52.13.2,52,Reader,D4 Retrieval & Response,Reasoning,D4.ch52,Extract TemporalAnchor fields from a book's Fact Units and order them chronologically.,Chronological ordering is a pairwise date comparison.,"=IF(DATE(1848,3,14)<DATE(1849,1,1),""Event A First"",""Event B First"")",True
8,Edition Comparison,User-Facing,§52.13.2,52,Reader,D4 Retrieval & Response,Reasoning,D4.ch52,"Diff the VersionChain entries of two edition-tagged Fact Unit sets, surfacing additions, removals, and changes.",A field differs between editions if its two values are unequal.,"=IF(""v2 text""<>""v1 text"",""Changed"",""Same"")",True
9,Flashcard Generation,User-Facing,§52.13.2.1,52,Student,D4 Retrieval & Response,Reasoning,D4.ch52,"Select a Fact Unit, derive a question/answer pair from its content and SupportingFactUnits, format as a citing study card.",Structural rule: One flashcard derives from exactly one Fact Unit; a card spanning two Fact Units is not generated.,,False
10,Fact Graph Visualization,User-Facing,§52.13.2.2,52,Researcher,D9 Interaction Surfaces,Experience,D9.ch52,Render Ontology Mesh nodes and edges for a given scope as an explicit graph structure.,Structural rule: The rendered graph contains exactly the nodes and edges within the requester's scope description; no node is drawn that traversal would not return.,,False
